Tanggal,Fakultas,Kategori,Anggaran (Juta Rp),Realisasi (Juta Rp)
31/05/2020,FKB,Riset dan Pengembangan,182.0,169.84259135683556
31/05/2020,FKB,Kemahasiswaan,342.0,321.8753980491261
31/05/2020,FKB,Pengembangan Infrastruktur,482.0,439.95166301037017
31/05/2020,FIT,Operasional,181.5,240.69419070665256
31/05/2020,FIT,Riset dan Pengembangan,485.0,454.8136469450503
31/05/2020,FIT,Kemahasiswaan,409.0,398.29379258821734
31/05/2020,FIT,Pengembangan Infrastruktur,440.0,438.7214144795917
31/05/2020,FIK,Operasional,261.0,237.87103330589878
31/05/2020,FIK,Riset dan Pengembangan,278.0,258.73866922987673
31/05/2020,FIK,Kemahasiswaan,112.0,102.32792142612197
31/05/2020,FIK,Pengembangan Infrastruktur,478.0,456.45745872654607
30/06/2020,FTE,Operasional,147.0,135.2451733475969
30/06/2020,FTE,Riset dan Pengembangan,353.0,317.9624845859389
30/06/2020,FTE,Kemahasiswaan,462.0,424.14042010792735
30/06/2020,FTE,Pengembangan Infrastruktur,261.0,256.18185047832014
30/06/2020,FRI,Operasional,109.0,104.37933306192173
30/06/2020,FRI,Riset dan Pengembangan,485.0,458.534977078814
30/06/2020,FRI,Kemahasiswaan,338.0,318.1172314020086
30/06/2020,FRI,Pengembangan Infrastruktur,466.0,434.53862256492005
30/06/2020,FIF,Operasional,428.0,420.6158666366146
30/06/2020,FIF,Riset dan Pengembangan,187.5,113.61026117199228
30/06/2020,FIF,Kemahasiswaan,222.0,207.73513985836775
30/06/2020,FIF,Pengembangan Infrastruktur,263.0,259.0333725916583
30/06/2020,FEB,Operasional,464.0,443.6553159404585
30/06/2020,FEB,Riset dan Pengembangan,193.5,123.00124519688578
30/06/2020,FEB,Kemahasiswaan,467.0,452.2273187003757
30/06/2020,FEB,Pengembangan Infrastruktur,275.0,265.041506580264
30/06/2020,FKB,Operasional,141.75,173.07774994853634
30/06/2020,FKB,Riset dan Pengembangan,472.0,425.938872221404
30/06/2020,FKB,Kemahasiswaan,197.0,191.46288117131985
30/06/2020,FKB,Pengembangan Infrastruktur,450.0,423.227498218201
30/06/2020,FIT,Operasional,271.5,328.0985859963669
30/06/2020,FIT,Riset dan Pengembangan,398.0,396.37118040383484
30/06/2020,FIT,Kemahasiswaan,260.0,253.75244572701155
30/06/2020,FIT,Pengembangan Infrastruktur,376.0,355.7151164689431
30/06/2020,FIK,Operasional,387.0,384.53780598114355
30/06/2020,FIK,Riset dan Pengembangan,265.0,259.50151729558974
30/06/2020,FIK,Kemahasiswaan,461.0,450.05780181200566
30/06/2020,FIK,Pengembangan Infrastruktur,472.0,437.4115626840558
31/07/2020,FTE,Operasional,183.0,171.58693894050262
31/07/2020,FTE,Riset dan Pengembangan,450.0,441.7163128450428
31/07/2020,FTE,Kemahasiswaan,232.0,223.90048784527403
31/07/2020,FTE,Pengembangan Infrastruktur,391.0,387.9616752178479
31/07/2020,FRI,Operasional,160.0,146.7897683306485
31/07/2020,FRI,Riset dan Pengembangan,248.0,225.68527221280775
31/07/2020,FRI,Kemahasiswaan,200.0,191.08867999735529
31/07/2020,FRI,Pengembangan Infrastruktur,177.0,159.92265378492553
31/07/2020,FIF,Operasional,338.0,312.0423659062336
31/07/2020,FIF,Riset dan Pengembangan,235.5,156.39147048365402
31/07/2020,FIF,Kemahasiswaan,471.0,444.47626347412677
31/07/2020,FIF,Pengembangan Infrastruktur,256.0,241.28413716507356
31/07/2020,FEB,Operasional,426.0,391.0181195358949
31/07/2020,FEB,Riset dan Pengembangan,514.5,324.58755724351823
31/07/2020,FEB,Kemahasiswaan,164.0,156.80386553254968
31/07/2020,FEB,Pengembangan Infrastruktur,457.0,445.5779963332114
31/07/2020,FKB,Operasional,77.25,102.5833568278218
31/07/2020,FKB,Riset dan Pengembangan,167.0,152.63866944196687
31/07/2020,FKB,Kemahasiswaan,205.0,188.68885337074659
31/07/2020,FKB,Pengembangan Infrastruktur,380.0,369.74811945161844
31/07/2020,FIT,Operasional,90.75,114.69865411438094
31/07/2020,FIT,Riset dan Pengembangan,448.0,416.9785605877191
31/07/2020,FIT,Kemahasiswaan,204.0,196.35399596204797
31/07/2020,FIT,Pengembangan Infrastruktur,435.0,419.53086207901964
31/07/2020,FIK,Operasional,417.0,380.4047250373433
31/07/2020,FIK,Riset dan Pengembangan,186.0,183.3875914070142
31/07/2020,FIK,Kemahasiswaan,371.0,339.0425567725255
31/07/2020,FIK,Pengembangan Infrastruktur,371.0,363.7879902625544
31/08/2020,FTE,Operasional,456.0,431.3538738615164
31/08/2020,FTE,Riset dan Pengembangan,293.0,267.0890223821378
31/08/2020,FTE,Kemahasiswaan,135.0,121.95611148572378
31/08/2020,FTE,Pengembangan Infrastruktur,432.0,396.8304958839927
31/08/2020,FRI,Operasional,480.0,471.724142826756
31/08/2020,FRI,Riset dan Pengembangan,420.0,395.6145531046496
31/08/2020,FRI,Kemahasiswaan,369.0,350.77106274319294
31/08/2020,FRI,Pengembangan Infrastruktur,261.0,242.78924438705855
31/08/2020,FIF,Operasional,298.0,285.25192898957533
31/08/2020,FIF,Riset dan Pengembangan,532.5,323.45008947970297
31/08/2020,FIF,Kemahasiswaan,463.0,437.75349993927887
31/08/2020,FIF,Pengembangan Infrastruktur,101.0,100.33945290586058
31/08/2020,FEB,Operasional,442.0,415.959908761264
31/08/2020,FEB,Riset dan Pengembangan,705.0,442.2545359838475
31/08/2020,FEB,Kemahasiswaan,478.0,460.8799165269981
31/08/2020,FEB,Pengembangan Infrastruktur,116.0,107.76835126864576
31/08/2020,FKB,Operasional,248.25,304.96290309719166
31/08/2020,FKB,Riset dan Pengembangan,426.0,383.45456769302166
31/08/2020,FKB,Kemahasiswaan,440.0,437.59240886725297
31/08/2020,FKB,Pengembangan Infrastruktur,318.0,308.66527683434384
31/08/2020,FIT,Operasional,345.0,432.5391273192527
31/08/2020,FIT,Riset dan Pengembangan,338.0,329.7497432860651
31/08/2020,FIT,Kemahasiswaan,358.0,344.8339329841042
31/08/2020,FIT,Pengembangan Infrastruktur,267.0,256.6754268289955
31/08/2020,FIK,Operasional,494.0,471.0263699170797
31/08/2020,FIK,Riset dan Pengembangan,435.0,410.4232452404145
31/08/2020,FIK,Kemahasiswaan,399.0,392.5354623505474
31/08/2020,FIK,Pengembangan Infrastruktur,317.0,291.11097787046776
30/09/2020,FTE,Operasional,455.0,412.3637685150527
30/09/2020,FTE,Riset dan Pengembangan,331.0,313.12139773697703
30/09/2020,FTE,Kemahasiswaan,226.0,212.42016271723816
30/09/2020,FTE,Pengembangan Infrastruktur,320.0,295.0447686060963
30/09/2020,FRI,Operasional,287.0,266.1030258029925
30/09/2020,FRI,Riset dan Pengembangan,335.0,326.6338269115848
30/09/2020,FRI,Kemahasiswaan,374.0,336.7608006239757
30/09/2020,FRI,Pengembangan Infrastruktur,490.0,470.90127898355615
30/09/2020,FIF,Operasional,325.0,324.1699960616085
30/09/2020,FIF,Riset dan Pengembangan,181.5,119.31365742615813
30/09/2020,FIF,Kemahasiswaan,273.0,252.8434068893421
30/09/2020,FIF,Pengembangan Infrastruktur,177.0,167.9394928542821
30/09/2020,FEB,Operasional,168.0,157.96623521762012
30/09/2020,FEB,Riset dan Pengembangan,711.0,458.6844632977383
30/09/2020,FEB,Kemahasiswaan,297.0,270.71219246905633
30/09/2020,FEB,Pengembangan Infrastruktur,446.0,443.4417662502371
30/09/2020,FKB,Operasional,263.25,349.7574359005766
30/09/2020,FKB,Riset dan Pengembangan,207.0,202.7205728907342
30/09/2020,FKB,Kemahasiswaan,312.0,302.7527053025813
30/09/2020,FKB,Pengembangan Infrastruktur,310.0,298.2422814196569
30/09/2020,FIT,Operasional,106.5,140.89163099901864
30/09/2020,FIT,Riset dan Pengembangan,491.0,480.5311391057163
30/09/2020,FIT,Kemahasiswaan,329.0,314.6242209956214
30/09/2020,FIT,Pengembangan Infrastruktur,341.0,333.8713145504601
30/09/2020,FIK,Operasional,301.0,283.2922728314835
30/09/2020,FIK,Riset dan Pengembangan,461.0,423.6434793943292
30/09/2020,FIK,Kemahasiswaan,474.0,462.15804798042967
30/09/2020,FIK,Pengembangan Infrastruktur,115.0,108.94685559911923
31/10/2020,FTE,Operasional,374.0,342.0863365707814
31/10/2020,FTE,Riset dan Pengembangan,348.0,346.6485393276394
31/10/2020,FTE,Kemahasiswaan,459.0,427.2130784988731
31/10/2020,FTE,Pengembangan Infrastruktur,242.0,219.52910900321163
31/10/2020,FRI,Operasional,271.0,245.57483253900418
31/10/2020,FRI,Riset dan Pengembangan,233.0,223.1721003196631
31/10/2020,FRI,Kemahasiswaan,281.0,259.53944832451674
31/10/2020,FRI,Pengembangan Infrastruktur,328.0,311.58030103298626
31/10/2020,FIF,Operasional,358.0,330.6113607054003
31/10/2020,FIF,Riset dan Pengembangan,381.0,237.76923700117558
31/10/2020,FIF,Kemahasiswaan,442.0,403.07298372512685
31/10/2020,FIF,Pengembangan Infrastruktur,304.0,288.77186065991503
31/10/2020,FEB,Operasional,288.0,277.3170114600158
31/10/2020,FEB,Riset dan Pengembangan,238.5,149.10483148434298
31/10/2020,FEB,Kemahasiswaan,293.0,285.3327699122795
31/10/2020,FEB,Pengembangan Infrastruktur,340.0,310.54412181622246
31/10/2020,FKB,Operasional,205.5,248.5451448964732
31/10/2020,FKB,Riset dan Pengembangan,247.0,245.8282094320087
31/10/2020,FKB,Kemahasiswaan,446.0,420.4747048789467
31/10/2020,FKB,Pengembangan Infrastruktur,422.0,406.3452192579579
31/10/2020,FIT,Operasional,351.0,444.47689262826714
31/10/2020,FIT,Riset dan Pengembangan,154.0,151.00099023537365
31/10/2020,FIT,Kemahasiswaan,319.0,308.67148559776393
31/10/2020,FIT,Pengembangan Infrastruktur,236.0,225.99604480309057
31/10/2020,FIK,Operasional,439.0,437.0392710007596
31/10/2020,FIK,Riset dan Pengembangan,406.0,378.63583551346807
31/10/2020,FIK,Kemahasiswaan,326.0,309.53638726060154
31/10/2020,FIK,Pengembangan Infrastruktur,211.0,190.37653582959865
30/11/2020,FTE,Operasional,499.0,451.45266077661137
30/11/2020,FTE,Riset dan Pengembangan,316.0,308.82148299639016
30/11/2020,FTE,Kemahasiswaan,106.0,98.09042797694917
30/11/2020,FTE,Pengembangan Infrastruktur,418.0,411.07116456369204
30/11/2020,FRI,Operasional,206.0,197.22808515608085
30/11/2020,FRI,Riset dan Pengembangan,335.0,322.96059203481764
30/11/2020,FRI,Kemahasiswaan,254.0,232.70155042508884
30/11/2020,FRI,Pengembangan Infrastruktur,455.0,445.907379240909
30/11/2020,FIF,Operasional,128.0,120.2200036419687
30/11/2020,FIF,Riset dan Pengembangan,316.5,201.02236310480913
30/11/2020,FIF,Kemahasiswaan,360.0,327.8900281862023
30/11/2020,FIF,Pengembangan Infrastruktur,472.0,433.8321189576212
30/11/2020,FEB,Operasional,312.0,307.8688301447535
30/11/2020,FEB,Riset dan Pengembangan,376.5,246.43442436691058
30/11/2020,FEB,Kemahasiswaan,481.0,479.1868663310667
30/11/2020,FEB,Pengembangan Infrastruktur,191.0,177.32770653685478
30/11/2020,FKB,Operasional,222.75,279.82494707708923
30/11/2020,FKB,Riset dan Pengembangan,435.0,431.9451038545418
30/11/2020,FKB,Kemahasiswaan,147.0,135.01299921722517
30/11/2020,FKB,Pengembangan Infrastruktur,315.0,298.0301235098237
30/11/2020,FIT,Operasional,252.75,315.6743569183619
30/11/2020,FIT,Riset dan Pengembangan,124.0,119.47756361528691
30/11/2020,FIT,Kemahasiswaan,135.0,132.70060977720928
30/11/2020,FIT,Pengembangan Infrastruktur,318.0,289.99351574084295
30/11/2020,FIK,Operasional,497.0,471.57305987138426
30/11/2020,FIK,Riset dan Pengembangan,208.0,193.42375285969052
30/11/2020,FIK,Kemahasiswaan,188.0,173.3220517491721
30/11/2020,FIK,Pengembangan Infrastruktur,286.0,276.9869325807576
31/12/2020,FTE,Operasional,444.0,409.1151507681593
31/12/2020,FTE,Riset dan Pengembangan,177.0,170.07942996067723
31/12/2020,FTE,Kemahasiswaan,250.0,240.3478845378263
31/12/2020,FTE,Pengembangan Infrastruktur,298.0,283.1131447070119
31/12/2020,FRI,Operasional,200.0,187.7875556138871
31/12/2020,FRI,Riset dan Pengembangan,420.0,412.93110110504483
31/12/2020,FRI,Kemahasiswaan,200.0,188.72489610213134
31/12/2020,FRI,Pengembangan Infrastruktur,146.0,145.28297603893876
31/12/2020,FIF,Operasional,206.0,188.75441104779028
31/12/2020,FIF,Riset dan Pengembangan,207.0,131.39644659660433
31/12/2020,FIF,Kemahasiswaan,494.0,460.50241076938596
31/12/2020,FIF,Pengembangan Infrastruktur,448.0,419.6605326839529
31/12/2020,FEB,Operasional,412.0,408.8848607771631
31/12/2020,FEB,Riset dan Pengembangan,741.0,472.24811560084896
31/12/2020,FEB,Kemahasiswaan,491.0,488.1839702669994
31/12/2020,FEB,Pengembangan Infrastruktur,384.0,352.261831501999
31/12/2020,FKB,Operasional,332.25,437.4116362026318
31/12/2020,FKB,Riset dan Pengembangan,393.0,358.0789534040661
31/12/2020,FKB,Kemahasiswaan,221.0,211.42121021027435
31/12/2020,FKB,Pengembangan Infrastruktur,244.0,236.02968104503367
31/12/2020,FIT,Operasional,330.75,422.889446782851
31/12/2020,FIT,Riset dan Pengembangan,328.0,299.8423318899819
31/12/2020,FIT,Kemahasiswaan,447.0,439.3098712099128
31/12/2020,FIT,Pengembangan Infrastruktur,277.0,253.58908074173243
31/12/2020,FIK,Operasional,134.0,127.31511676056307
31/12/2020,FIK,Riset dan Pengembangan,220.0,198.86747218011237
31/12/2020,FIK,Kemahasiswaan,217.0,210.3916450409081
31/12/2020,FIK,Pengembangan Infrastruktur,163.0,147.66929737909604
31/01/2021,FTE,Operasional,263.0,262.4086631390505
31/01/2021,FTE,Riset dan Pengembangan,327.0,310.8429254956124
31/01/2021,FTE,Kemahasiswaan,383.0,348.7890412720244
31/01/2021,FTE,Pengembangan Infrastruktur,383.0,371.26188173277967
31/01/2021,FRI,Operasional,367.0,346.70043627952526
31/01/2021,FRI,Riset dan Pengembangan,130.0,118.09372387009162
31/01/2021,FRI,Kemahasiswaan,223.0,221.6234508336381
31/01/2021,FRI,Pengembangan Infrastruktur,253.0,236.06860822269337
31/01/2021,FIF,Operasional,220.0,205.18615603890774
31/01/2021,FIF,Riset dan Pengembangan,382.5,237.40466914621547
31/01/2021,FIF,Kemahasiswaan,337.0,327.82195080621665
31/01/2021,FIF,Pengembangan Infrastruktur,431.0,430.04394282852166
31/01/2021,FEB,Operasional,281.0,268.3675162531464
31/01/2021,FEB,Riset dan Pengembangan,742.5,479.6283421239377
31/01/2021,FEB,Kemahasiswaan,190.0,183.70856294852493
31/01/2021,FEB,Pengembangan Infrastruktur,351.0,320.9478645474165
31/01/2021,FKB,Operasional,310.5,396.727149098595
31/01/2021,FKB,Riset dan Pengembangan,256.0,238.44301579553454
31/01/2021,FKB,Kemahasiswaan,171.0,169.5093770095071
31/01/2021,FKB,Pengembangan Infrastruktur,397.0,392.0981386018849
31/01/2021,FIT,Operasional,112.5,147.72933310828918
31/01/2021,FIT,Riset dan Pengembangan,260.0,242.09106910456381
31/01/2021,FIT,Kemahasiswaan,179.0,172.77265491533205
31/01/2021,FIT,Pengembangan Infrastruktur,196.0,178.68811387823823
31/01/2021,FIK,Operasional,162.0,146.69301076449221
31/01/2021,FIK,Riset dan Pengembangan,227.0,205.3821001257856
31/01/2021,FIK,Kemahasiswaan,220.0,200.08992139453972
31/01/2021,FIK,Pengembangan Infrastruktur,175.0,164.0954604812221
28/02/2021,FTE,Operasional,183.0,167.6752710693728
28/02/2021,FTE,Riset dan Pengembangan,456.0,453.8513840155246
28/02/2021,FTE,Kemahasiswaan,205.0,200.49657536291542
28/02/2021,FTE,Pengembangan Infrastruktur,282.0,279.4631807614216
28/02/2021,FRI,Operasional,206.0,196.602800486683
28/02/2021,FRI,Riset dan Pengembangan,489.0,477.1520540256799
28/02/2021,FRI,Kemahasiswaan,394.0,363.68343826950405
28/02/2021,FRI,Pengembangan Infrastruktur,456.0,413.26158487397555
28/02/2021,FIF,Operasional,278.0,274.89941577005624
28/02/2021,FIF,Riset dan Pengembangan,741.0,467.24383160894627
28/02/2021,FIF,Kemahasiswaan,188.0,187.3717941804653
28/02/2021,FIF,Pengembangan Infrastruktur,429.0,423.4429214442924
28/02/2021,FEB,Operasional,449.0,414.34127380831666
28/02/2021,FEB,Riset dan Pengembangan,528.0,333.96389269413646
28/02/2021,FEB,Kemahasiswaan,282.0,276.52271952254597
28/02/2021,FEB,Pengembangan Infrastruktur,415.0,388.48258054503435
28/02/2021,FKB,Operasional,306.0,369.35740133005936
28/02/2021,FKB,Riset dan Pengembangan,309.0,292.4139300499902
28/02/2021,FKB,Kemahasiswaan,370.0,358.07531531671293
28/02/2021,FKB,Pengembangan Infrastruktur,201.0,197.87865789209076
28/02/2021,FIT,Operasional,185.25,241.7901881374924
28/02/2021,FIT,Riset dan Pengembangan,171.0,164.99694991794473
28/02/2021,FIT,Kemahasiswaan,403.0,396.56383271053915
28/02/2021,FIT,Pengembangan Infrastruktur,218.0,217.90383747418903
28/02/2021,FIK,Operasional,203.0,193.41824557895663
28/02/2021,FIK,Riset dan Pengembangan,180.0,174.58915352114656
28/02/2021,FIK,Kemahasiswaan,258.0,244.7465773575692
28/02/2021,FIK,Pengembangan Infrastruktur,157.0,146.43751998657712
31/03/2021,FTE,Operasional,155.0,146.83614537314762
31/03/2021,FTE,Riset dan Pengembangan,155.0,154.3801466069382
31/03/2021,FTE,Kemahasiswaan,420.0,396.21688954988736
31/03/2021,FTE,Pengembangan Infrastruktur,174.0,162.37794602056866
31/03/2021,FRI,Operasional,493.0,484.33117637035485
31/03/2021,FRI,Riset dan Pengembangan,165.0,162.41481359662774
31/03/2021,FRI,Kemahasiswaan,379.0,377.1659213559336
31/03/2021,FRI,Pengembangan Infrastruktur,295.0,273.552886568036
31/03/2021,FIF,Operasional,479.0,473.92722744484917
31/03/2021,FIF,Riset dan Pengembangan,330.0,206.95117927386264
31/03/2021,FIF,Kemahasiswaan,115.0,105.8753576928999
31/03/2021,FIF,Pengembangan Infrastruktur,317.0,286.7480698724992
31/03/2021,FEB,Operasional,399.0,374.8118567987528
31/03/2021,FEB,Riset dan Pengembangan,346.5,211.2621037845452
31/03/2021,FEB,Kemahasiswaan,447.0,423.48504652459985
31/03/2021,FEB,Pengembangan Infrastruktur,393.0,389.0207197084089
31/03/2021,FKB,Operasional,190.5,238.578458585134
31/03/2021,FKB,Riset dan Pengembangan,220.0,200.61298000981532
31/03/2021,FKB,Kemahasiswaan,448.0,438.46997324294136
31/03/2021,FKB,Pengembangan Infrastruktur,153.0,140.518041448666
31/03/2021,FIT,Operasional,306.75,394.3650418722287
31/03/2021,FIT,Riset dan Pengembangan,228.0,223.18577967633234
31/03/2021,FIT,Kemahasiswaan,437.0,429.35788100341597
31/03/2021,FIT,Pengembangan Infrastruktur,480.0,465.0653110857123
31/03/2021,FIK,Operasional,335.0,327.6205408499768
31/03/2021,FIK,Riset dan Pengembangan,295.0,268.989406930663
31/03/2021,FIK,Kemahasiswaan,364.0,344.7026619207848
